,INVOICE_NO,CUSTOMER_ID,GENDER,AGE,CATEGORY,QUANTITY,PRICE,PAYMENT_METHOD,INVOICE_DATE,SHOPPING_MALL
43,I977985,C105094,Male,60,Books,1,15.15,Cash,2021-02-20,Kanyon
44,I211144,C192661,Female,22,Cosmetics,2,81.32,Credit Card,2021-02-20,Zorlu Center
45,I300179,C185429,Female,48,Clothing,5,1500.4,Cash,2021-02-20,Zorlu Center
46,I158847,C636772,Male,45,Shoes,5,3000.85,Credit Card,2021-02-20,Kanyon
47,I210576,C269138,Male,52,Clothing,3,900.24,Credit Card,2021-02-20,Mall of Istanbul
48,I443254,C246856,Female,43,Clothing,4,1200.32,Credit Card,2021-02-20,Emaar Square Mall
49,I130472,C232908,Female,35,Cosmetics,5,203.3,Cash,2021-02-20,Kanyon
50,I210625,C545781,Female,47,Cosmetics,5,203.3,Cash,2021-02-20,Istinye Park
51,I106088,C898942,Female,24,Technology,5,5250.0,Debit Card,2021-02-20,Istinye Park
52,I866135,C303323,Female,23,Clothing,5,1500.4,Cash,2021-02-20,Metropol AVM
53,I926540,C137614,Female,34,Toys,5,179.2,Cash,2021-02-20,Kanyon
54,I894499,C625033,Male,58,Clothing,5,1500.4,Debit Card,2021-02-20,Forum Istanbul
55,I130629,C702969,Male,43,Clothing,1,300.08,Cash,2021-02-20,Mall of Istanbul
56,I114227,C205619,Female,39,Toys,5,179.2,Credit Card,2021-02-20,Mall of Istanbul
57,I583225,C133475,Male,28,Toys,5,179.2,Cash,2021-02-20,Metrocity
58,I228764,C440702,Male,56,Clothing,5,1500.4,Cash,2021-02-20,Cevahir AVM
59,I888521,C290607,Female,60,Clothing,1,300.08,Cash,2021-02-20,Istinye Park
60,I319196,C298525,Female,38,Shoes,3,1800.51,Cash,2021-02-20,Metrocity
61,I252996,C136858,Female,64,Toys,3,107.52,Cash,2021-02-20,Metrocity
62,I214503,C165317,Male,56,Clothing,4,1200.32,Cash,2021-02-20,Kanyon
63,I121663,C547840,Female,62,Food & Beverage,3,15.69,Credit Card,2021-02-20,Forum Istanbul
64,I163157,C104718,Female,61,Souvenir,3,35.19,Credit Card,2021-02-20,Metropol AVM
65,I299440,C757082,Female,21,Clothing,5,1500.4,Credit Card,2021-02-20,Istinye Park
66,I105268,C230698,Female,50,Clothing,1,300.08,Cash,2021-02-20,Istinye Park
67,I211921,C332791,Female,29,Souvenir,4,46.92,Cash,2021-02-20,Kanyon
68,I300173,C807958,Male,66,Food & Beverage,2,10.46,Credit Card,2021-02-20,Mall of Istanbul
69,I732046,C251701,Male,42,Cosmetics,2,81.32,Cash,2021-02-20,Mall of Istanbul
70,I178070,C127613,Male,47,Toys,5,179.2,Cash,2021-02-20,Istinye Park
71,I180340,C131023,Male,29,Toys,3,107.52,Credit Card,2021-02-20,Metropol AVM
72,I311258,C801513,Female,56,Clothing,1,300.08,Credit Card,2021-02-20,Metrocity
73,I227074,C305838,Female,43,Cosmetics,5,203.3,Debit Card,2021-02-21,Kanyon
74,I226554,C317073,Female,67,Toys,3,107.52,Debit Card,2021-02-21,Mall of Istanbul
75,I105124,C475519,Female,63,Cosmetics,3,121.98,Credit Card,2021-02-21,Emaar Square Mall
76,I533334,C315832,Male,47,Clothing,5,1500.4,Cash,2021-02-21,Forum Istanbul
77,I163529,C261902,Female,32,Clothing,4,1200.32,Debit Card,2021-02-21,Metrocity
78,I245483,C750643,Male,67,Clothing,4,1200.32,Cash,2021-02-21,Metrocity
79,I335747,C377145,Female,33,Cosmetics,4,162.64,Credit Card,2021-02-21,Metrocity
80,I232651,C968147,Female,66,Cosmetics,3,121.98,Credit Card,2021-02-21,Kanyon
81,I166406,C218301,Female,42,Clothing,4,1200.32,Credit Card,2021-02-21,Istinye Park
82,I815372,C195722,Female,48,Technology,2,2100.0,Credit Card,2021-02-21,Cevahir AVM
83,I247257,C456767,Female,50,Technology,5,5250.0,Credit Card,2021-02-21,Mall of Istanbul
84,I188396,C839269,Male,61,Clothing,2,600.16,Cash,2021-02-21,Kanyon
85,I915082,C324717,Female,27,Clothing,4,1200.32,Debit Card,2021-02-21,Metrocity
86,I190807,C320914,Female,19,Cosmetics,1,40.66,Cash,2021-02-21,Istinye Park
87,I329914,C133941,Female,58,Cosmetics,3,121.98,Debit Card,2021-02-21,Metropol AVM
88,I281214,C288090,Female,37,Toys,3,107.52,Cash,2021-02-21,Metropol AVM
89,I247087,C177377,Female,45,Souvenir,4,46.92,Credit Card,2021-02-21,Kanyon
90,I440290,C214410,Female,59,Cosmetics,4,162.64,Cash,2021-02-21,Zorlu Center
91,I216719,C186234,Female,31,Clothing,1,300.08,Debit Card,2021-02-21,Istinye Park
92,I218805,C567274,Male,62,Clothing,2,600.16,Debit Card,2021-02-21,Kanyon
93,I223874,C257519,Female,45,Clothing,1,300.08,Debit Card,2021-02-21,Zorlu Center
94,I328315,C896048,Female,40,Toys,2,71.68,Cash,2021-02-21,Forum Istanbul
95,I197491,C198857,Male,55,Cosmetics,4,162.64,Credit Card,2021-02-21,Mall of Istanbul
96,I454296,C818003,Female,46,Clothing,1,300.08,Credit Card,2021-02-21,Zorlu Center
97,I300195,C105697,Female,61,Clothing,4,1200.32,Cash,2021-02-21,Mall of Istanbul
98,I951607,C488766,Male,47,Cosmetics,1,40.66,Credit Card,2021-02-21,Istinye Park
99,I465087,C238065,Male,38,Food & Beverage,4,20.92,Debit Card,2021-02-21,Forum Istanbul
100,I623799,C155150,Female,47,Toys,2,71.68,Cash,2021-02-21,Metrocity
101,I336651,C239894,Male,63,Clothing,1,300.08,Debit Card,2021-02-21,Viaport Outlet
102,I949512,C217355,Female,47,Clothing,2,600.16,Credit Card,2021-02-21,Metrocity
103,I273147,C219428,Female,64,Clothing,1,300.08,Cash,2021-02-21,Metrocity
104,I197827,C257896,Male,67,Cosmetics,2,81.32,Credit Card,2021-02-21,Zorlu Center
105,I155152,C639366,Female,36,Toys,1,35.84,Credit Card,2021-02-21,Mall of Istanbul
106,I176810,C207064,Female,22,Technology,2,2100.0,Credit Card,2021-02-21,Metrocity
107,I526064,C467469,Male,19,Clothing,2,600.16,Credit Card,2021-02-21,Viaport Outlet
108,I130134,C306840,Female,54,Cosmetics,2,81.32,Debit Card,2021-02-21,Mall of Istanbul
109,I297388,C214506,Female,19,Clothing,3,900.24,Credit Card,2021-02-21,Istinye Park
110,I407044,C956613,Female,67,Cosmetics,4,162.64,Credit Card,2021-02-21,Metropol AVM
111,I168232,C886001,Male,37,Cosmetics,5,203.3,Debit Card,2021-02-21,Mall of Istanbul
112,I468540,C408174,Female,57,Clothing,1,300.08,Cash,2021-02-21,Zorlu Center
113,I388355,C614922,Female,33,Clothing,3,900.24,Cash,2021-02-21,Viaport Outlet
114,I172499,C134869,Female,40,Shoes,1,600.17,Cash,2021-02-21,Metropol AVM
115,I337665,C124264,Female,42,Clothing,1,300.08,Debit Card,2021-02-21,Viaport Outlet
116,I190218,C306438,Female,19,Cosmetics,3,121.98,Credit Card,2021-02-21,Istinye Park
117,I211116,C299624,Female,63,Books,1,15.15,Cash,2021-02-21,Mall of Istanbul
118,I207051,C184214,Female,55,Clothing,2,600.16,Cash,2021-02-21,Zorlu Center
119,I410834,C187179,Male,24,Clothing,2,600.16,Debit Card,2021-02-21,Kanyon
120,I998832,C257559,Male,23,Souvenir,2,23.46,Credit Card,2021-02-21,Metrocity
121,I176989,C115270,Female,45,Clothing,1,300.08,Debit Card,2021-02-21,Viaport Outlet
122,I596549,C333062,Male,32,Food & Beverage,3,15.69,Cash,2021-02-21,Metrocity
123,I119689,C231647,Female,65,Cosmetics,5,203.3,Debit Card,2021-02-21,Zorlu Center
124,I395397,C250536,Female,27,Food & Beverage,2,10.46,Cash,2021-02-21,Metrocity
125,I223779,C293067,Male,34,Books,4,60.6,Cash,2021-02-21,Kanyon
126,I338521,C318378,Female,52,Toys,5,179.2,Debit Card,2021-02-21,Emaar Square Mall
127,I239378,C125014,Female,35,Shoes,2,1200.34,Credit Card,2021-02-21,Viaport Outlet
128,I116190,C157201,Female,65,Clothing,1,300.08,Credit Card,2021-02-21,Kanyon
129,I162531,C428737,Female,34,Clothing,4,1200.32,Debit Card,2021-02-21,Metropol AVM
130,I647601,C115432,Female,58,Books,4,60.6,Cash,2021-02-21,Metrocity
131,I634944,C472183,Female,55,Clothing,3,900.24,Cash,2021-02-21,Kanyon
132,I311682,C463245,Female,52,Clothing,1,300.08,Credit Card,2021-02-21,Zorlu Center
133,I124389,C234785,Male,35,Toys,3,107.52,Credit Card,2021-02-21,Cevahir AVM
134,I169504,C257869,Male,60,Shoes,1,600.17,Cash,2021-02-21,Mall of Istanbul
135,I300785,C312439,Female,57,Cosmetics,5,203.3,Credit Card,2021-02-21,Kanyon
136,I694164,C332631,Female,56,Food & Beverage,1,5.23,Credit Card,2021-02-21,Kanyon
137,I318763,C189202,Male,40,Cosmetics,1,40.66,Cash,2021-02-21,Metrocity
138,I352583,C128860,Female,34,Clothing,2,600.16,Cash,2021-02-21,Metropol AVM
139,I130540,C322956,Female,18,Souvenir,4,46.92,Debit Card,2021-02-21,Forum Istanbul
140,I987120,C235350,Female,50,Shoes,5,3000.85,Cash,2021-02-21,Kanyon
141,I781551,C119846,Female,61,Clothing,3,900.24,Debit Card,2021-02-21,Kanyon
142,I123634,C327179,Female,61,Food & Beverage,5,26.15,Cash,2021-02-21,Kanyon
143,I222060,C280489,Female,54,Technology,1,1050.0,Cash,2021-02-21,Kanyon
144,I111859,C194340,Female,58,Clothing,4,1200.32,Credit Card,2021-02-21,Kanyon
145,I167849,C339233,Female,61,Toys,3,107.52,Cash,2021-02-21,Metrocity
146,I293888,C392315,Female,24,Souvenir,1,11.73,Cash,2021-02-21,Metrocity
147,I588448,C476844,Female,55,Toys,3,107.52,Credit Card,2021-02-21,Forum Istanbul
148,I112005,C151187,Male,34,Clothing,2,600.16,Cash,2021-02-21,Kanyon
149,I191843,C321765,Male,36,Books,4,60.6,Cash,2021-02-21,Cevahir AVM
150,I174889,C183426,Male,26,Clothing,2,600.16,Cash,2021-02-21,Metrocity
151,I364477,C169089,Male,46,Books,5,75.75,Cash,2021-02-21,Forum Istanbul
152,I226251,C105746,Male,54,Toys,1,35.84,Cash,2021-02-21,Kanyon
153,I316526,C254702,Male,18,Souvenir,4,46.92,Debit Card,2021-02-21,Mall of Istanbul
154,I237628,C105986,Female,62,Food & Beverage,5,26.15,Debit Card,2021-02-21,Istinye Park
155,I173974,C302296,Female,51,Cosmetics,3,121.98,Cash,2021-02-21,Istinye Park
156,I112627,C169562,Female,47,Shoes,5,3000.85,Debit Card,2021-02-21,Metrocity
157,I845252,C124806,Male,37,Cosmetics,5,203.3,Cash,2021-02-21,Metropol AVM
158,I240677,C997246,Male,19,Clothing,3,900.24,Debit Card,2021-02-21,Metrocity
159,I124959,C272616,Female,46,Food & Beverage,1,5.23,Credit Card,2021-02-21,Mall of Istanbul
160,I102195,C242866,Female,28,Clothing,1,300.08,Credit Card,2021-02-21,Kanyon
161,I222113,C293881,Female,68,Cosmetics,2,81.32,Credit Card,2021-02-21,Mall of Istanbul
162,I241315,C263632,Female,50,Shoes,1,600.17,Credit Card,2021-02-21,Mall of Istanbul
163,I229055,C239447,Female,30,Shoes,4,2400.68,Debit Card,2021-02-21,Viaport Outlet
164,I122655,C989693,Female,32,Technology,2,2100.0,Credit Card,2021-02-21,Metropol AVM
165,I348821,C619842,Male,21,Clothing,5,1500.4,Credit Card,2021-02-21,Cevahir AVM
166,I240382,C245745,Female,37,Clothing,5,1500.4,Credit Card,2021-02-21,Istinye Park
167,I331024,C122092,Female,67,Cosmetics,3,121.98,Credit Card,2021-02-21,Mall of Istanbul
168,I509854,C200793,Male,63,Cosmetics,4,162.64,Credit Card,2021-02-21,Istinye Park
169,I257021,C157151,Female,63,Food & Beverage,5,26.15,Credit Card,2021-02-21,Zorlu Center
170,I312438,C329590,Male,27,Food & Beverage,2,10.46,Credit Card,2021-02-21,Metrocity
171,I137317,C861134,Female,57,Clothing,3,900.24,Cash,2021-02-21,Mall of Istanbul
172,I262236,C338865,Male,43,Clothing,4,1200.32,Credit Card,2021-02-21,Kanyon
173,I321205,C225063,Female,24,Clothing,4,1200.32,Credit Card,2021-02-21,Viaport Outlet
174,I210175,C354589,Female,62,Food & Beverage,4,20.92,Debit Card,2021-02-21,Mall of Istanbul
175,I140725,C118551,Female,32,Cosmetics,5,203.3,Debit Card,2021-02-21,Metropol AVM
176,I288991,C250450,Male,26,Shoes,2,1200.34,Credit Card,2021-02-21,Emaar Square Mall
177,I979393,C310457,Male,59,Food & Beverage,4,20.92,Credit Card,2021-02-21,Metrocity
178,I122874,C233012,Male,19,Shoes,2,1200.34,Cash,2021-02-21,Metropol AVM
179,I296790,C124997,Male,37,Clothing,4,1200.32,Debit Card,2021-02-21,Kanyon
180,I303726,C324077,Male,60,Food & Beverage,1,5.23,Debit Card,2021-02-21,Istinye Park
181,I234302,C612901,Male,48,Clothing,1,300.08,Cash,2021-02-21,Kanyon
182,I293594,C501599,Female,44,Toys,4,143.36,Cash,2021-02-21,Kanyon
183,I221596,C290224,Female,27,Clothing,5,1500.4,Cash,2021-02-21,Viaport Outlet
184,I139034,C171850,Male,25,Clothing,4,1200.32,Debit Card,2021-02-21,Istinye Park
185,I157628,C198724,Male,21,Toys,5,179.2,Credit Card,2021-02-21,Mall of Istanbul
186,I279011,C300704,Male,33,Cosmetics,1,40.66,Credit Card,2021-02-21,Forum Istanbul
187,I159559,C644945,Male,21,Clothing,5,1500.4,Debit Card,2021-02-21,Mall of Istanbul
188,I233040,C431612,Male,28,Clothing,4,1200.32,Cash,2021-02-21,Kanyon
189,I239082,C288766,Female,43,Cosmetics,2,81.32,Cash,2021-02-21,Mall of Istanbul
190,I137314,C252971,Male,56,Cosmetics,1,40.66,Credit Card,2021-02-21,Kanyon
191,I219590,C306419,Male,28,Toys,3,107.52,Cash,2021-02-21,Mall of Istanbul
192,I602036,C167736,Male,33,Clothing,1,300.08,Credit Card,2021-02-21,Kanyon
193,I145151,C134159,Female,58,Clothing,4,1200.32,Credit Card,2021-02-21,Istinye Park
194,I276976,C767828,Female,52,Food & Beverage,1,5.23,Cash,2021-02-21,Forum Istanbul
195,I267935,C757923,Female,37,Food & Beverage,2,10.46,Cash,2021-02-21,Kanyon
196,I854745,C155293,Female,42,Clothing,5,1500.4,Cash,2021-02-21,Mall of Istanbul
197,I313319,C240420,Male,52,Cosmetics,4,162.64,Cash,2021-02-21,Forum Istanbul
198,I331916,C339416,Male,59,Shoes,4,2400.68,Credit Card,2021-02-21,Istinye Park
199,I250277,C180549,Female,35,Clothing,4,1200.32,Cash,2021-02-21,Metrocity
200,I232938,C309110,Female,62,Souvenir,3,35.19,Debit Card,2021-02-21,Viaport Outlet
201,I258726,C350983,Female,55,Books,2,30.3,Debit Card,2021-02-21,Metrocity
202,I197954,C532361,Female,30,Cosmetics,2,81.32,Debit Card,2021-02-21,Kanyon
203,I169870,C182077,Female,19,Food & Beverage,3,15.69,Cash,2021-02-22,Mall of Istanbul
204,I124093,C275391,Male,24,Clothing,3,900.24,Cash,2021-02-22,Kanyon
205,I190120,C319519,Male,50,Souvenir,3,35.19,Credit Card,2021-02-22,Mall of Istanbul
206,I210834,C151801,Female,31,Toys,2,71.68,Cash,2021-02-22,Metrocity
207,I247823,C241764,Male,68,Clothing,2,600.16,Debit Card,2021-02-22,Metrocity
208,I161154,C232793,Female,30,Souvenir,3,35.19,Cash,2021-02-22,Metropol AVM
209,I194346,C126860,Female,26,Clothing,2,600.16,Debit Card,2021-02-22,Forum Istanbul
210,I150790,C155849,Male,38,Souvenir,5,58.65,Cash,2021-02-22,Mall of Istanbul
211,I522466,C133528,Female,42,Clothing,5,1500.4,Credit Card,2021-02-22,Kanyon
212,I432231,C334666,Female,32,Toys,5,179.2,Cash,2021-02-22,Kanyon
213,I125307,C261462,Male,22,Clothing,1,300.08,Cash,2021-02-22,Kanyon
214,I376609,C234537,Female,69,Clothing,4,1200.32,Credit Card,2021-02-22,Cevahir AVM
215,I752995,C762755,Female,28,Books,2,30.3,Credit Card,2021-02-22,Kanyon
216,I246258,C103525,Female,65,Food & Beverage,4,20.92,Cash,2021-02-22,Viaport Outlet
217,I165718,C269207,Male,56,Souvenir,2,23.46,Cash,2021-02-22,Kanyon
218,I899774,C297020,Female,44,Clothing,2,600.16,Cash,2021-02-22,Metrocity
219,I339519,C336488,Male,18,Clothing,3,900.24,Debit Card,2021-02-22,Istinye Park
220,I943020,C437921,Female,23,Cosmetics,4,162.64,Cash,2021-02-22,Metrocity
221,I274166,C217619,Female,34,Clothing,4,1200.32,Debit Card,2021-02-22,Metrocity
222,I428117,C164651,Male,35,Food & Beverage,5,26.15,Cash,2021-02-22,Cevahir AVM
223,I247480,C279833,Male,49,Food & Beverage,1,5.23,Cash,2021-02-22,Metrocity
224,I319218,C319963,Female,37,Technology,5,5250.0,Credit Card,2021-02-22,Kanyon
225,I793674,C145896,Female,49,Toys,3,107.52,Credit Card,2021-02-22,Metropol AVM
226,I283093,C185505,Male,64,Souvenir,5,58.65,Cash,2021-02-22,Kanyon
227,I429820,C206620,Female,57,Souvenir,3,35.19,Cash,2021-02-22,Metrocity
228,I165014,C220985,Male,52,Souvenir,5,58.65,Debit Card,2021-02-22,Cevahir AVM
229,I176919,C191461,Male,58,Cosmetics,2,81.32,Debit Card,2021-02-22,Kanyon
230,I286666,C189108,Male,49,Technology,2,2100.0,Credit Card,2021-02-22,Istinye Park
231,I899771,C290194,Female,65,Shoes,2,1200.34,Credit Card,2021-02-22,Metrocity
232,I260360,C321263,Female,65,Technology,2,2100.0,Credit Card,2021-02-22,Kanyon
233,I106544,C189402,Male,28,Toys,5,179.2,Cash,2021-02-22,Kanyon
234,I148487,C576925,Female,19,Clothing,5,1500.4,Cash,2021-02-22,Mall of Istanbul
235,I807269,C242830,Male,44,Food & Beverage,5,26.15,Credit Card,2021-02-22,Viaport Outlet
236,I221374,C261344,Female,45,Souvenir,4,46.92,Debit Card,2021-02-22,Kanyon
237,I555174,C334451,Female,56,Clothing,5,1500.4,Credit Card,2021-02-22,Kanyon
238,I501012,C175198,Female,62,Shoes,5,3000.85,Cash,2021-02-22,Kanyon
239,I212058,C451209,Male,38,Souvenir,3,35.19,Credit Card,2021-02-22,Kanyon
240,I910527,C957505,Female,25,Technology,1,1050.0,Cash,2021-02-22,Metrocity
241,I326300,C331086,Female,66,Toys,4,143.36,Credit Card,2021-02-22,Mall of Istanbul
242,I826607,C820029,Female,56,Cosmetics,3,121.98,Cash,2021-02-22,Mall of Istanbul
243,I228462,C243852,Female,33,Cosmetics,5,203.3,Credit Card,2021-02-22,Metrocity
244,I152123,C178608,Female,21,Clothing,4,1200.32,Credit Card,2021-02-22,Istinye Park
245,I277331,C219993,Female,65,Cosmetics,4,162.64,Debit Card,2021-02-22,Mall of Istanbul
246,I591350,C253306,Male,34,Cosmetics,2,81.32,Debit Card,2021-02-22,Mall of Istanbul
247,I339641,C306498,Male,24,Toys,1,35.84,Debit Card,2021-02-22,Mall of Istanbul
248,I250731,C278373,Female,58,Cosmetics,4,162.64,Debit Card,2021-02-22,Mall of Istanbul
249,I214736,C221737,Female,60,Cosmetics,4,162.64,Credit Card,2021-02-22,Mall of Istanbul
250,I128833,C125310,Male,66,Clothing,5,1500.4,Credit Card,2021-02-22,Viaport Outlet
251,I205970,C505219,Female,50,Food & Beverage,4,20.92,Credit Card,2021-02-22,Metrocity
252,I261915,C203615,Female,46,Clothing,3,900.24,Cash,2021-02-22,Metropol AVM
253,I336622,C205745,Female,34,Souvenir,1,11.73,Credit Card,2021-02-22,Mall of Istanbul
254,I707225,C822840,Female,19,Clothing,3,900.24,Credit Card,2021-02-22,Metrocity
255,I693423,C112996,Female,50,Clothing,2,600.16,Cash,2021-02-22,Mall of Istanbul
256,I262153,C175779,Female,38,Cosmetics,4,162.64,Credit Card,2021-02-22,Forum Istanbul
257,I811456,C262989,Male,54,Cosmetics,1,40.66,Credit Card,2021-02-22,Zorlu Center
258,I304050,C260333,Female,62,Clothing,3,900.24,Cash,2021-02-22,Forum Istanbul
259,I106496,C642750,Male,35,Food & Beverage,1,5.23,Credit Card,2021-02-22,Metrocity
260,I151222,C711400,Male,32,Clothing,3,900.24,Cash,2021-02-22,Metrocity
261,I101888,C216076,Male,69,Clothing,5,1500.4,Cash,2021-02-22,Metropol AVM
262,I277261,C816799,Female,63,Cosmetics,4,162.64,Cash,2021-02-22,Cevahir AVM
263,I301949,C120523,Female,42,Cosmetics,5,203.3,Debit Card,2021-02-22,Forum Istanbul
264,I286344,C141499,Male,46,Shoes,2,1200.34,Credit Card,2021-02-22,Kanyon
265,I479217,C146365,Male,40,Shoes,1,600.17,Credit Card,2021-02-22,Kanyon
266,I278727,C212031,Female,59,Souvenir,4,46.92,Debit Card,2021-02-22,Istinye Park
267,I188385,C323633,Male,22,Clothing,3,900.24,Cash,2021-02-22,Mall of Istanbul
268,I321224,C235887,Female,68,Food & Beverage,1,5.23,Cash,2021-02-22,Cevahir AVM
269,I284672,C337478,Female,52,Food & Beverage,5,26.15,Cash,2021-02-22,Metrocity
270,I149935,C172237,Female,47,Cosmetics,5,203.3,Credit Card,2021-02-22,Mall of Istanbul
271,I188645,C149928,Female,47,Food & Beverage,1,5.23,Cash,2021-02-22,Metrocity
272,I289982,C188800,Male,45,Food & Beverage,5,26.15,Cash,2021-02-22,Kanyon
273,I324339,C188155,Female,64,Food & Beverage,4,20.92,Cash,2021-02-22,Emaar Square Mall
274,I179719,C306330,Female,26,Cosmetics,2,81.32,Cash,2021-02-22,Mall of Istanbul
275,I236117,C215120,Female,54,Shoes,1,600.17,Credit Card,2021-02-22,Metrocity
276,I286831,C302194,Female,68,Clothing,4,1200.32,Cash,2021-02-22,Viaport Outlet
277,I224601,C200301,Female,33,Clothing,4,1200.32,Cash,2021-02-22,Istinye Park
278,I311824,C871323,Female,32,Clothing,2,600.16,Credit Card,2021-02-22,Kanyon
279,I137869,C501617,Female,68,Food & Beverage,1,5.23,Credit Card,2021-02-22,Istinye Park
280,I241607,C701353,Female,27,Clothing,3,900.24,Cash,2021-02-22,Kanyon
281,I295918,C219987,Male,19,Shoes,1,600.17,Debit Card,2021-02-22,Istinye Park
282,I699951,C231176,Female,26,Cosmetics,5,203.3,Cash,2021-02-22,Metrocity
283,I228754,C359352,Male,57,Books,2,30.3,Credit Card,2021-02-22,Kanyon
284,I608362,C157625,Female,65,Technology,5,5250.0,Credit Card,2021-02-22,Kanyon
285,I116216,C112195,Male,23,Souvenir,4,46.92,Cash,2021-02-22,Viaport Outlet
286,I175196,C500289,Female,62,Food & Beverage,4,20.92,Cash,2021-02-22,Mall of Istanbul
287,I147227,C635663,Female,32,Clothing,4,1200.32,Debit Card,2021-02-22,Mall of Istanbul
288,I843168,C416513,Male,34,Cosmetics,5,203.3,Cash,2021-02-22,Istinye Park
289,I273317,C722102,Female,58,Clothing,5,1500.4,Credit Card,2021-02-22,Mall of Istanbul
290,I731976,C249321,Female,62,Clothing,2,600.16,Cash,2021-02-22,Kanyon
291,I176367,C329795,Male,66,Cosmetics,4,162.64,Debit Card,2021-02-22,Metrocity
292,I108263,C698848,Female,35,Books,3,45.45,Credit Card,2021-02-22,Metropol AVM
293,I413887,C201718,Female,38,Clothing,1,300.08,Cash,2021-02-22,Metropol AVM
294,I291010,C224592,Male,60,Toys,1,35.84,Debit Card,2021-02-22,Metrocity
295,I124943,C120052,Female,68,Cosmetics,5,203.3,Debit Card,2021-02-22,Mall of Istanbul
